PAYS,VILLE,TYPE DE PARTENAIRE,NOM DU PARTENAIRE,SPECIALITE,TELEPHONE,E-MAIL,Latitude,Longitude,QUARTIER,ADRESSE
TOGO,LOME,HOPITAL,CENTRE HOSPITALIER REGIONAL (CHR) LOME COMMUNE,"MEDECINE GENERALE, GYNECOLOGIE OBSTETRIQUE, CHIRURGIE, PEDIATRIE, DERMATOLOGIE, RHUMATOLOGIE, STOMATOLOGIE, HEPATO-GASTRO-ENTEROLOGIE, NEUROLOGIE, OPHTALMOLOGIE, OTO-RHINO-LARYNGOLOGIE, PNEUMOLOGIE, UROLOGIE, NEPHROLOGIE, ANALYSES MEDICALES, RADIOLOGIE, ECHOGRAPHIE",90810427;90963975 / 90 15 48 92,chrlomecommune@yahoo.fr; matafei@hotmail.com,6.1916875,1.2365625,Lome Lome,Lome
TOGO,LOME,CLINIQUE,CLINIQUE BONNE ESPERANCE,"CARDIOLOGIE, MEDECINE GENERALE, ANALYSES MEDICALES",22 50 70 93 ; 90 09 76 12,jdamoro@yahoo.fr,6.2229375,1.2158125,Agoè Kétidjan,"Agoè Kétidjan, Route de Kégué, Rue Koffi Panou"
TOGO,LOME,C/DENTAIRE,CENTRE DENTAIRE INTERNATIONAL DE LOME (SOS DENTISTE),CHIRURGIE DENTAIRE,90909511;99627022;90040071,cdiltg@gmail.com,6.1975625,1.2058125,Agbalepedo,"Agbalepedo, derrière la Direction des Transports Routiers"
TOGO,LOME,CENTRE D'OPTIQUE,ANOPTIC,OPTIQUE,91224040,ericbiti29@gmail.com,6.1256875,1.2254375,Lome Lome,Lome
TOGO,LOME,CABINET,CABINET CARDIO 24 (ENAM),CARDIOLOGIE,22 22 44 97/ 92 25 00 25,docesse@yahoo.fr,6.1350625,1.2136875,Lome Hanoukopé,Hanoukopé
TOGO,LOME,C/DENTAIRE,CABINET DENTAIRE EGNY,CHIRURGIE DENTAIRE,22 22 14 06 ; 93 90 35 73 ; 90 05 16 90,Pas d'adresse mail,6.1415625,1.2450625,Lome Lome,Lome
TOGO,LOME,C/DENTAIRE,CABINET DENTAIRE IVOIRE,CHIRURGIE DENTAIRE,22 20 41 93 / 91346072,Adresse non fonctionnelle,6.1261875,1.2010625,Lome Lome,"Rue de la charité, haut de la Pharmacie ADJOLOLO"
TOGO,LOME,C/DENTAIRE,CABINET DENTAIRE LE SALUT,CHIRURGIE DENTAIRE,22 22 10 01 ; 90045382,cabinetdentairelesalut@gmail.com,6.1418125,1.2025625,Lome Lome,Lome
TOGO,LOME,C/DENTAIRE,CABINET DENTAIRE PDG,CHIRURGIE DENTAIRE,22 20 28 39 / 90136585,ananivich@gmail.com,6.1336875,1.2360625,Lome Lome,"Lome Boulevard de la Kara, angle rue Cinkassé"
TOGO,LOME,CABINET,CABINET D'OPHTALMOLOGIE DODAVA,OPHTALMOLOGIE,22227628 / 99222454,cododava@gmail.com; adaakue@hotmail.com,6.1331875,1.2136875,"Lome Nyékonakpoé, 253, Rue des Cocotiers, près de la Clinique BIASA","Nyékonakpoé, 253, Rue des Cocotiers, près de la Clinique BIASA"
